Item No	Color	Code
970c00pb245	Light Bluish Gray	6031253
970c00pb246	White	6033547
970c00pb247	Dark Tan	6031254
970c00pb248	Dark Tan	6033578
970c00pb249	Black	6041729
970c00pb249	Dark Blue	6041728
970c00pb251	Dark Brown	6033520
970c00pb252	Blue	6043443
970c00pb253	Dark Bluish Gray	6033604
970c00pb254	Tan	6036779
970c00pb255	White	6043610
970c00pb256	Dark Bluish Gray	6041727
970c00pb257	Black	6041725
970c00pb258	Dark Blue	6033527
970c00pb259	Black	6033775
970c00pb260	Dark Brown	6042864
970c00pb261	Black	6042795
970c00pb262	Sand Blue	6036000
970c00pb263	White	6040380
970c00pb264	White	6040369
970c00pb265	Medium Dark Flesh	6040497
970c00pb266	White	6040406
970c00pb267	Olive Green	6043505
970c00pb268	Dark Brown	6040491
970c00pb269	Bright Light Yellow	6040415
970c00pb270	Sand Blue	6040418
970c00pb271	Black	6039766
970c00pb272	Dark Blue	6039764
970c00pb273	Olive Green	6043806
970c00pb274	Dark Blue	6050640
970c00pb275	Dark Brown	6056640
970c00pb276	Dark Bluish Gray	6056506
970c00pb277	Dark Brown	6056366
970c00pb278	Dark Brown	6062369
970c00pb279	Dark Red	6057720
970c00pb280	Black	6039767
970c00pb281	Dark Brown	6063675
970c00pb282	Orange	6058044
970c00pb283	Black	6062362
970c00pb283	Black	6256885
970c00pb284	Black	6056685
970c00pb285	Black	6057873
970c00pb286	Black	6058049
970c00pb287	Black	6057869
970c00pb288	Dark Blue	6058443
970c00pb289	Dark Brown	6055179
970c00pb290	Dark Red	6057856
970c00pb292	Reddish Brown	6057975
970c00pb293	Dark Blue	6058129
970c00pb294	Sand Blue	6057964
970c00pb295	Blue	6057889
970c00pb296	Flesh	6057829
970c00pb297	Dark Bluish Gray	6064000
970c00pb298	White	6058094
970c00pb299	Black	6058096
970c00pb300	Dark Bluish Gray	6065594
970c00pb301	Blue	6063760
970c00pb302	Green	6073117
970c00pb303	Black	6073113
970c00pb304	Dark Bluish Gray	6073584
970c00pb305	Dark Orange	6073747
970c00pb306	Green	6077754
970c00pb307	Medium Blue	6072949
970c00pb308	Blue	6065052
970c00pb308	Blue	6116948
970c00pb309	Blue	6072915
970c00pb309	Blue	6076789
970c00pb310	Blue	6078246
